ID_Prestamo_Unico;ID_Cliente;Fecha_Originacion;Monto_Prestamo_USD;Saldo_Actual_Prestamo_USD;Total_Pagado_Capital_USD;Monto_Mora_Sin_Cargos_USD;Cuotas_Mora;Dias_Mora_DPD;Estado_Orden;Fecha_Vencimiento_1ra_Cuota;Monto_1ra_Cuota_USD;FPD;Score_Crediticio_Usuario;Tipo_Producto_Vertical
10688221;2005637;06/12/2024;37.6;0.0;37.6;0.0;0;;CLOSED;20/12/2024;12.53;No;497.0;Moda
10056787;5842686;28/11/2024;116.0;0.0;116.0;0.0;0;;CLOSED;12/12/2024;38.67;No;15.0;Hogar
12174112;6384827;21/12/2024;37.6;0.0;37.6;0.0;0;;CLOSED;04/01/2025;12.53;No;399.0;Tecnología
12105367;6939620;21/12/2024;74.0;0.0;74.0;0.0;0;;CLOSED;04/01/2025;24.67;No;405.0;Hogar
10811985;1567447;07/12/2024;18.0;0.0;18.0;0.0;0;;CLOSED;21/12/2024;6.0;No;562.0;Moda
18702896;8610945;31/03/2025;13.6;13.6;0.0;0.0;0;;IN_PROGRESS;14/04/2025;4.53;No;472.0;Moda
8661862;5435815;02/11/2024;42.77;0.0;42.77;0.0;0;;CLOSED;16/11/2024;14.26;No;445.0;Moda
17925479;5872255;20/03/2025;68.35;68.35;0.0;0.0;0;;IN_PROGRESS;03/04/2025;68.35;No;441.0;Supermercados
10509125;2518099;02/12/2024;35.62;0.0;35.62;0.0;0;;CLOSED;16/12/2024;35.62;No;468.0;Supermercados
9210525;3254565;13/11/2024;113.78;0.0;113.78;0.0;0;;CLOSED;27/11/2024;113.78;No;492.0;Supermercados
16534365;7285852;27/02/2025;16.98;5.66;11.32;0.0;0;;IN_PROGRESS;13/03/2025;5.66;No;383.0;Moda
17603323;9720786;15/03/2025;37.01;0.0;37.01;0.0;0;;CLOSED;29/03/2025;37.01;No;350.0;Supermercados
18716599;6277472;31/03/2025;20.04;20.04;0.0;0.0;0;;IN_PROGRESS;14/04/2025;20.04;No;543.0;Restaurantes
11646748;6624754;17/12/2024;10.92;0.0;10.92;0.0;0;;CLOSED;31/12/2024;3.64;No;437.0;Deporte
8660886;2035967;02/11/2024;26.97;0.0;26.97;0.0;0;;CLOSED;16/11/2024;8.99;No;422.0;Moda
15052278;7432579;02/02/2025;44.88;0.0;44.88;0.0;0;;CLOSED;16/02/2025;44.88;No;499.0;Restaurantes
13944958;8013367;13/01/2025;17.86;0.0;17.86;0.0;0;;CLOSED;27/01/2025;17.86;No;447.0;Supermercados
11424575;5097738;15/12/2024;24.0;0.0;24.0;0.0;0;;CLOSED;29/12/2024;8.0;No;253.0;Moda
10714045;2267743;06/12/2024;20.4;0.0;20.4;0.0;0;;CLOSED;20/12/2024;6.8;No;402.0;Moda
16306492;8961132;23/02/2025;6.19;0.0;6.19;0.0;0;;CLOSED;09/03/2025;6.19;No;349.0;Farmacias
11149968;6230475;12/12/2024;15.92;0.0;15.92;0.0;0;;CLOSED;26/12/2024;5.31;No;375.0;Herramientas
10517009;6773870;03/12/2024;28.0;0.0;28.0;0.0;0;;CLOSED;17/12/2024;9.33;No;460.0;Tecnología
16439343;8367365;25/02/2025;168.0;0.0;168.0;0.0;0;;CLOSED;11/03/2025;56.0;No;292.0;Servicios
16953611;1763257;05/03/2025;20.5;13.67;6.83;0.0;0;;IN_PROGRESS;19/03/2025;6.83;No;460.0;Moda
8685988;1110238;02/11/2024;15.55;0.0;15.55;0.0;0;;CLOSED;16/11/2024;15.55;No;382.0;Supermercados
8667142;5647707;02/11/2024;144.0;0.0;144.0;0.0;0;;CLOSED;16/11/2024;48.0;No;363.0;Hogar
12965288;8335869;28/12/2024;22.14;0.0;22.14;0.0;0;;CLOSED;11/01/2025;22.14;No;473.0;Supermercados
15416408;3661207;09/02/2025;34.9;0.0;34.9;0.0;0;;CLOSED;23/02/2025;34.9;No;280.0;Supermercados
17618108;8307201;16/03/2025;8.67;0.0;8.67;0.0;0;;CLOSED;30/03/2025;8.67;No;373.0;Farmacias
12827220;4334617;26/12/2024;17.75;0.0;17.74;0.0;0;;CLOSED;09/01/2025;5.92;No;367.0;Moda
18442049;6827750;28/03/2025;34.45;34.45;0.0;0.0;0;;IN_PROGRESS;11/04/2025;11.48;No;452.0;Servicios
16103694;6909686;20/02/2025;24.82;0.0;24.82;0.0;0;;CLOSED;06/03/2025;24.82;No;422.0;Farmacias
14630919;6210391;26/01/2025;18.07;0.0;18.07;0.0;0;;CLOSED;09/02/2025;18.07;No;19.0;Supermercados
14592498;7562108;25/01/2025;16.43;0.0;16.43;0.0;0;;CLOSED;08/02/2025;5.48;No;522.0;Hogar
13909168;9157782;12/01/2025;120.65;0.0;120.65;0.0;0;;CLOSED;26/01/2025;40.22;No;454.0;Salud
